Titulo,Autor,ImgUrl,SiteUrl,Preco
O poder do hábito,Charles Duhigg,"https://images-na.ssl-images-amazon.com/images/I/81XTXQEVPlL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/poder-do-h%C3%A1bito-Charles-Duhigg/dp/8539004119/ref=zg_bs_books_17/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 36,90"
Contra o sistema da corrupção,Sergio Moro,"https://images-na.ssl-images-amazon.com/images/I/71SAvj2T%2BSL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Contra-sistema-corrup%C3%A7%C3%A3o-Sergio-Moro/dp/6589827028/ref=zg_bs_books_18/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 49,90"
"Vermelho, branco e sangue azul",Casey McQuiston,"https://images-na.ssl-images-amazon.com/images/I/71SYepTUsDL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Vermelho-branco-sangue-Casey-McQuiston/dp/8555340942/ref=zg_bs_books_19/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 29,80"
Rápido e devagar,Daniel Kahneman,"https://images-na.ssl-images-amazon.com/images/I/61pt9lG-PvL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/R%C3%A1pido-devagar-Daniel-Kahneman/dp/853900383X/ref=zg_bs_books_20/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 34,99"
Amor & Gelato: 1,Jenna Evans Welch,"https://images-na.ssl-images-amazon.com/images/I/819NQVdBM5L._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Amor-Gelato-Jenna-Evans-Welch/dp/8551002341/ref=zg_bs_books_21/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 24,90"
Os segredos da mente milionária,T. Harv Eker,"https://images-na.ssl-images-amazon.com/images/I/81ZnJcgjCdL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/segredos-mente-milion%C3%A1ria-Harv-Eker/dp/8575422391/ref=zg_bs_books_22/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 26,00"
A garota do lago,Charlie Donlea,"https://images-na.ssl-images-amazon.com/images/I/81LRk6%2Bp1HL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Garota-do-Lago-Charlie-Donlea/dp/856240988X/ref=zg_bs_books_23/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 9,90"
"Talvez você deva conversar com alguém: Uma terapeuta, o terapeuta dela e a vida de todos nós",Lori Gottlieb,"https://images-na.ssl-images-amazon.com/images/I/81E-X4rpSdL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Talvez-voc%C3%AA-deva-conversar-algu%C3%A9m/dp/6599039812/ref=zg_bs_books_24/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 28,80"
A vida invisível de Addie LaRue,V.E. Schwab,"https://images-na.ssl-images-amazon.com/images/I/71X245OYRBL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/vida-invis%C3%ADvel-Addie-LaRue/dp/6555872551/ref=zg_bs_books_25/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 34,90"
"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade",Morgan Housel,"https://images-na.ssl-images-amazon.com/images/I/81ehvI03NYS._AC_UL200_SR200,200_.jpg",www.amazon.com.br/psicologia-financeira-atemporais-gan%C3%A2ncia-felicidade/dp/6555111100/ref=zg_bs_books_26/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 24,79"
Perigoso!,Tim Warnes,"https://images-na.ssl-images-amazon.com/images/I/91W6uZQWTjL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Perigoso-Tim-Warnes/dp/8538058975/ref=zg_bs_books_27/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 17,87"
O Hobbit + pôster,J.R.R. Tolkien,"https://images-na.ssl-images-amazon.com/images/I/91M9xPIf10L._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Hobbit-p%C3%B4ster-J-R-R-Tolkien/dp/8595084742/ref=zg_bs_books_28/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 27,79"
Quem pensa enriquece - o legado: O legado,Napoleon Hill,"https://images-na.ssl-images-amazon.com/images/I/61x4XUF8zvL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Quem-Pensa-Enriquece-Legado-Napoleon/dp/8568014542/ref=zg_bs_books_29/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 19,76"
Mentirosos,E. Lockhart,"https://images-na.ssl-images-amazon.com/images/I/71bJYZfcrKL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Mentirosos-Lockhart/dp/8565765482/ref=zg_bs_books_30/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 26,30"
A rainha vermelha,Victoria Aveyard,"https://images-na.ssl-images-amazon.com/images/I/71-gOnTKuOL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/rainha-vermelha-Victoria-Aveyard/dp/8565765695/ref=zg_bs_books_31/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 24,90"
Box Trilogia O Senhor dos Anéis,J.R.R. Tolkien,"https://images-na.ssl-images-amazon.com/images/I/61WfqBG4sOL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Box-Trilogia-Senhor-dos-An%C3%A9is/dp/8595086354/ref=zg_bs_books_32/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 99,79"
Cristianismo puro e simples,C. S. Lewis,"https://images-na.ssl-images-amazon.com/images/I/91YQ3e1VNKL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Cristianismo-Puro-Simples-C-S-Lewis/dp/8578601777/ref=zg_bs_books_33/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 19,43"
Corso – Edição Limitada Com Bookplate Autografado,Danilo Beyruth,"https://images-na.ssl-images-amazon.com/images/I/81iHH9XOFRL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Corso-Edi%C3%A7%C3%A3o-Limitada-Bookplate-Autografado/dp/6500357647/ref=zg_bs_books_34/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 62,93"
Harry Potter e a pedra filosofal,J.K. Rowling,"https://images-na.ssl-images-amazon.com/images/I/81ibfYk4qmL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Harry-Potter-Pedra-Filosofal-Rowling/dp/8532530788/ref=zg_bs_books_35/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 24,50"
Como fazer amigos e influenciar pessoas,Dale Carnegie,"https://images-na.ssl-images-amazon.com/images/I/81kImHC1lsL._AC_UL200_SR200,200_.jpg",www.amazon.com.br/Como-fazer-amigos-influenciar-pessoas/dp/8543108683/ref=zg_bs_books_36/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 25,43"
O livro das virtudes para crianças,William Bennett,"https://images-na.ssl-images-amazon.com/images/I/61MQykLj8hS._AC_UL200_SR200,200_.jpg",www.amazon.com.br/livro-das-virtudes-para-crian%C3%A7as/dp/6556402583/ref=zg_bs_books_37/145-0801616-2105505?_encoding=UTF8&psc=1&refRID=ZR5HW0SVDQC1SZQ2T4FB,"R$ 30,25"
