Titulo,Autor,ImgUrl,SiteUrl,Preco
A Ordem,Daniel Silva,https://m.media-amazon.com/images/I/910zpa+QoeL._AC_UY218_.jpg,www.amazon.com.br/Ordem-Daniel-Silva/dp/6555111070/ref=sr_1_14?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-14,"R$ 28,30"
O terceiro gêmeo,Ken Follett,https://m.media-amazon.com/images/I/81HGFYD5iRL._AC_UY218_.jpg,www.amazon.com.br/terceiro-g%C3%AAmeo-Ken-Follett/dp/6555652063/ref=sr_1_15?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-15,"R$ 36,60"
Pra você que teve um dia ruim,Victor Fernandes,https://m.media-amazon.com/images/I/81qyydZ7nXL._AC_UY218_.jpg,www.amazon.com.br/Pra-voc%C3%AA-que-teve-ruim/dp/8542215273/ref=sr_1_16?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-16,"R$ 20,00"
"Mulheres, Mitos e Deusas: O feminino através dos tempos",Martha Robles,https://m.media-amazon.com/images/I/71eeJ8Gtm-L._AC_UY218_.jpg,www.amazon.com.br/Mulheres-Mitos-Deusas-feminino-atrav%C3%A9s/dp/8576574543/ref=sr_1_17?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-17&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,"R$ 38,99"
Templários: Ascensão e queda dos guerreiros sagrados de Deus,Dan Jones,https://m.media-amazon.com/images/I/81gqXcz1hZL._AC_UY218_.jpg,www.amazon.com.br/Templ%C3%A1rios-Ascens%C3%A3o-queda-guerreiros-sagrados/dp/6555354577/ref=sr_1_18?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-18,"R$ 55,90"
1984,George Orwell,https://m.media-amazon.com/images/I/61t0bwt1s3L._AC_UY218_.jpg,www.amazon.com.br/1984-George-Orwell/dp/6555522267/ref=sr_1_19?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-19,"R$ 13,90"
Mitologia Nórdica,Neil Gaiman,https://m.media-amazon.com/images/I/71+hTjyR3eS._AC_UY218_.jpg,www.amazon.com.br/Mitologia-N%C3%B3rdica-Neil-Gaiman/dp/8551001280/ref=sr_1_20?__mk_pt_BR=%3Fref%3Dsr_pg_1&keywords=dan+brown&qid=1638805660&s=books&sr=1-20,"R$ 27,90"
Eu devia estar sonhando,Michel Bussi,https://m.media-amazon.com/images/I/81LJEBz7-MS._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg1_1?ie=UTF8&adId=A0989845HN3BIPRQ1G4L&url=%2Fdevia-estar-sonhando-Michel-Bussi%2Fdp%2F6555651466%2Fref%3Dsr_1_21_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_1%26keywords%3Ddan%2Bbrown%26qid%3D1638805660%26s%3Dbooks%26sr%3D1-21-spons%26psc%3D1&qualifier=1638805660&id=2199526627316917&widgetName=sp_btf,"R$ 37,40"
Cartada final,John Grisham,https://m.media-amazon.com/images/I/A1HgPExZMHL._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg1_1?ie=UTF8&adId=A095813318QJ6VYDA9Y8Y&url=%2FCartada-final-John-Grisham%2Fdp%2F6555650478%2Fref%3Dsr_1_22_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_1%26keywords%3Ddan%2Bbrown%26qid%3D1638805660%26s%3Dbooks%26sr%3D1-22-spons%26psc%3D1&qualifier=1638805660&id=2199526627316917&widgetName=sp_btf,"R$ 24,90"
Cartada final,John Grisham,https://m.media-amazon.com/images/I/A1HgPExZMHL._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg2_1?ie=UTF8&adId=A095813318QJ6VYDA9Y8Y&url=%2FCartada-final-John-Grisham%2Fdp%2F6555650478%2Fref%3Dsr_1_17_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_2%26keywords%3Ddan%2Bbrown%26qid%3D1638805661%26s%3Dbooks%26sr%3D1-17-spons%26psc%3D1&qualifier=1638805661&id=5700921124566938&widgetName=sp_atf_next,"R$ 24,90"
Não conte a ninguém,Harlan Coben,https://m.media-amazon.com/images/I/81GebSCPsJL._AC_UY218_.jpg,www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg2_1?ie=UTF8&adId=A09562613OS8BEHJMNNNR&url=%2FN%25C3%25A3o-conte-ningu%25C3%25A9m-Harlan-Coben%2Fdp%2F6555651202%2Fref%3Dsr_1_18_sspa%3F__mk_pt_BR%3D%253Fref%253Dsr_pg_2%26keywords%3Ddan%2Bbrown%26qid%3D1638805661%26s%3Dbooks%26sr%3D1-18-spons%26psc%3D1&qualifier=1638805661&id=5700921124566938&widgetName=sp_atf_next,"R$ 15,81"
